photon_energy_eV    total_yield    yield_error
5.10000126 2.6837131902738966e-06 1.491550818918292e-05
5.19999757 4.407795169197546e-05 6.760778868430835e-05
5.30000365 1.3245381317733038e-05 1.4954030593287543e-05
5.39998791 2.4999737595201176e-06 5.8537879594899135e-06
5.50000542 1.6775465865748682e-05 1.3919016383947494e-05
5.59999255 1.2073995299037872e-05 1.0857710522358073e-05
5.70000311 1.8615800492866875e-05 1.4336222049648017e-05
5.80000362 1.7534009701510047e-05 1.86289417595476e-05
5.89998665 1.5491776805578332e-05 1.2739550402709669e-05
6.00002763 3.564219642804847e-05 1.8196435730782774e-05
6.09999682 2.8226445819673784e-05 1.892428611736454e-05
6.20000045 2.1103696791980476e-05 1.977131679855576e-05
6.30000517 3.672690198744992e-05 1.909169456967144e-05
6.40000387 2.748578172655925e-05 2.11923354617196e-05
6.49999185 5.2450001352802894e-05 2.5587731696904645e-05
6.599995 5.750495642987743e-05 2.209314149615876e-05
6.70001872 5.252581297001383e-05 2.023426091709476e-05
6.79998336 4.858133875622665e-05 2.021221942466729e-05
6.89997931 5.1222710858918596e-05 1.822853444839953e-05
7.00002801 6.978938863796e-05 2.0687273231257762e-05
7.10000431 7.096610022762774e-05 1.9383458811880443e-05
7.1999877 8.584603398931206e-05 1.7768737861755196e-05
7.29999579 8.783487912079419e-05 1.7576470573022432e-05
7.40001464 0.00010603298231659188 1.9163351716663192e-05
7.5999966 0.0001736122374329309 1.7978993349546604e-05
7.6999932 0.00023819394563142363 2.047834049006227e-05
7.80002553 0.00033462728324346893 2.4792087694106008e-05
7.89998742 0.0004749305489272063 3.2245324204056004e-05
8.00000234 0.0006930732005529746 4.457164187955147e-05
8.1000026 0.0009784671316775558 6.265246606375956e-05
8.20000087 0.0013849146317612506 8.867780445405853e-05
8.2999877 0.0019059009122655904 0.00012203720325473181
8.39999768 0.002564367441418509 0.00016419963317830516
8.50003777 0.003321246830120847 0.00021266356076443817
8.5999807 0.0042557162377029846 0.0002724987978927252
8.70001287 0.005322330903171127 0.0003407954600573291
8.79998796 0.006527327869230078 0.0004179529128513803
8.9000086 0.007953205615531271 0.0005092536364209532
9.00000528 0.009456253349866066 0.0006054956501983297
9.09994627 0.01117188595159436 0.0007153497371448938
9.20004263 0.013038398482082532 0.0008348648533793033
9.29998325 0.015063502283264888 0.0009645347657059847
9.40001753 0.01737541444740192 0.0011125693738360013
9.49999223 0.01984953555656554 0.0012709904222402996
9.59998474 0.022742729329782958 0.001456245213969082
9.70000524 0.02586533967015272 0.0016561898335138824
9.80003609 0.02933466658692718 0.0018783351461976493
9.89997276 0.03318596747425615 0.0021249387267706773
9.9999745 0.0372755334533858 0.002386798717186136
10.0999995 0.04165186373023217 0.002667020581852998
10.2000221 0.046157852530501975 0.0029555446428590833
10.300008 0.05075168941922111 0.0032496937261087895
10.4000111 0.05501465380545339 0.003522656631956759
10.5000018 0.05928716667427083 0.0037962309390074463
10.5999963 0.06349583493424274 0.004065717196434852
10.7000143 0.06792189456114635 0.004349123293168346
10.8000121 0.07230899999620445 0.0046300351046022845
10.9000031 0.077008770481442 0.004930967247646246
10.9999644 0.08221324024864421 0.005264215912739836
11.1000139 0.08777713246205497 0.005620478843601379
11.2000343 0.0936332918853663 0.005995456007018134
11.2999222 0.09959203640369399 0.0063770018215178765
11.400036 0.10587015385070306 0.006778997481421814
11.4999833 0.11237449923580123 0.00719547879726138
11.600082 0.11870708171329322 0.0076009619207330955
11.7000033 0.12439277467808106 0.007965023905027442
11.8000109 0.12653549761699945 0.008102225116870358
12.0000412 0.11356540375595937 0.007271733893236309
12.0999648 0.12310216017989048 0.007882384255281977
12.2000217 0.13194445549518183 0.008448567409760787
12.3000285 0.1416317388948706 0.009068856201075068
12.4000047 0.15381985563056602 0.00984927645786499
12.499985 0.16208655486896684 0.01037860348043471
12.6000078 0.16592455748388432 0.010624355556103797
12.6999966 0.16749379204086198 0.010724835594363807
12.799965 0.17267060763404224 0.011056313528337936
12.9000645 0.17644700085702783 0.011298120678099694
12.9999879 0.18553524658291948 0.01188005234293172
13.0999709 0.19282595366914518 0.012346885375450072
13.2000513 0.20057500924942645 0.012843067031483205
13.2999813 0.2117985015246946 0.0135617211856473
13.4000272 0.22066129137619822 0.014129216630741669
13.4999365 0.2270491131003528 0.014538236791805015
13.6000318 0.23287541698764908 0.014911302268158972
13.7000272 0.23727884422284234 0.01519325918473335
13.7999478 0.23955707990039293 0.015339137445588435
13.8999787 0.243368075921124 0.01558316025547947
13.9999968 0.2492452517675996 0.015959483126581697
14.1000188 0.251962925783363 0.016133499170179456
14.1999642 0.25497538511201234 0.01632639068359501
14.2999998 0.2580923144901455 0.016525971544069925
14.4000314 0.25957093951018206 0.016620649741108627
14.4999088 0.26320110330713187 0.016853093639049636
14.6001014 0.2657862275125742 0.01701862235361605
14.699993 0.26772097186858373 0.01714250643840806
14.79999 0.2702151198352243 0.017302209831377466
14.9000142 0.27211736461533587 0.017424012927948093
15.0000022 0.27472549501074717 0.017591014757440526
15.1000184 0.2759337325917247 0.01766837971083387
15.1999234 0.2768274283131386 0.017725604158180624
15.3000498 0.2788000532879903 0.017851913786059007
15.4000117 0.27921660497856604 0.017878586108319695
15.4999337 0.2785671163350641 0.01783699854356825
15.6001068 0.27805614088487585 0.017804280150669916
15.6999314 0.27665553644407437 0.01771459770825039
15.799981 0.27615521537482096 0.017682561528600045
15.9000744 0.27360814900533237 0.01751946970455182
16.0000215 0.27162868303387366 0.017392722039161614
16.1000045 0.2699605743171599 0.01728591096561499
16.1999367 0.26722225650842535 0.01711057307430596
16.3000533 0.2647316099306615 0.016951093879616373
16.4000084 0.2605289316672136 0.016681991169108217
16.599971 0.24280910915782206 0.015547368919179289
16.7000485 0.24624824844758403 0.01576758128060111
16.7999332 0.2469577653215365 0.015813012527525837
16.8999929 0.24620061669652638 0.015764531360404423
17.0001417 0.2456749455026973 0.015730871980783157
17.0999553 0.2457022065227854 0.015732617537767786
17.1999325 0.242694280551673 0.015540016300867453
17.3000095 0.24087214284673003 0.015423342559842845
17.3998972 0.23719690967359902 0.01518801281375192
17.5000441 0.2320696302206586 0.014859706740379777
17.6000849 0.22822169028671396 0.014613318365827509
17.7000215 0.2231494681180507 0.014288537678769394
17.8000898 0.21900734083422058 0.014023312122713145
17.8999606 0.2131914177981463 0.013650911345159833
18.0000583 0.20804412553371662 0.01332132382660463
18.0999968 0.20290850477571884 0.012992483649106643
18.1999955 0.19750226816286187 0.012646315602215833
18.2999286 0.1922944853003075 0.012312854795510735
18.4000798 0.18671937097979738 0.01195587329918956
18.4999349 0.18178657548327923 0.011640020275169012
18.6000882 0.17728973616708882 0.011352082066995615
18.6999029 0.17220284422762516 0.0110263620562878
18.800015 0.1675019519660547 0.010725358084511576
18.9000079 0.16368598076687704 0.010481016707763574
19.0000377 0.15929543239087005 0.010199884440543257
19.1000587 0.15568932309956682 0.009968980782483502
19.1999334 0.15169624821031083 0.009713299236430708
19.3000059 0.14853777666125528 0.00951105837914071
19.4000198 0.14547809254942004 0.009315143004186907
19.4999571 0.14232302887722006 0.00911312035748583
19.6000189 0.13949319017118658 0.008931922269419546
19.700003 0.13723436062963615 0.008787286607562237
19.7997951 0.1347197127567668 0.00862627058012845
19.9001826 0.13248450482718055 0.00848314743943209
19.9998282 0.13040734820245167 0.008350144520144634
20.1001796 0.12837792296025238 0.00822019790058079
20.1999425 0.12639843178354682 0.008093448621267312
20.2998926 0.124609234569126 0.00797888410077526
20.3999525 0.12273077832080266 0.007858604213449296
20.5002482 0.12086019156094908 0.0077388282192469016
20.5999051 0.11930091787592027 0.007638985987992909
20.6999755 0.11775571557373782 0.007540044764864495
20.8000682 0.11620032140485534 0.007440450943849163
20.8999915 0.11463932761430713 0.007340498572101748
20.9999064 0.11324550256097142 0.007251250222284198
21.1000901 0.11177223462413245 0.007156915045938135
23.5000422 0.08029237328294014 0.005141220414489998
23.5999218 0.079853943979415 0.005113147241491971
23.7001032 0.07957263159938514 0.00509513446030338
23.7999817 0.07903128797493592 0.005060471555478475
23.899912 0.07888710851011187 0.005051239565220925
24.0000731 0.07841260943885255 0.0050208568001827245
24.0997959 0.07817373303266961 0.005005561247120917
24.199968 0.07786466259236617 0.004985771082847107
24.3001078 0.07757216585608774 0.004967042153432763
24.4000581 0.07711142273307646 0.004937540198850922
24.499804 0.07688523745931553 0.004923057274765232
24.600171 0.07665626992240268 0.004908396198913313
24.7001173 0.07639853394752656 0.004891893044237436
24.8000749 0.07630992532692239 0.0048862193241750755
24.8998823 0.07601829969379341 0.004867546172577627
24.9999855 0.07571141738703085 0.004847896117212921
25.1000217 0.07553422079437798 0.004836549999240859
25.1998757 0.07526675108426494 0.004819423581404821
25.3000566 0.07513436772080104 0.0048109469101725345
25.4000356 0.07487137414419988 0.004794107104726293
25.5000108 0.0749904565560973 0.0048017320995050175
25.6000265 0.07476866052669852 0.00478753022418892
25.7001282 0.0747027504995853 0.0047833099232679355
25.7996559 0.0745013229077509 0.004770412264314308
25.900122 0.07451043647173936 0.004770995817138948
26.0002688 0.07439198297957478 0.004763411092872072
26.0999127 0.0745298822701109 0.004772240955767639
26.1999307 0.07439003456760103 0.004763286333632736
26.3000965 0.07441154337378476 0.00476466356921467
26.399949 0.07447687247085498 0.004768846672463268
26.499874 0.07436837460533381 0.004761899419338985
26.6002693 0.07444437124986299 0.004766765578904469
26.6997387 0.07429575503079566 0.004757249497760613
26.7999549 0.07421413958621441 0.004752023559447142
26.899921 0.07441633988398784 0.004764970695722034
27.0001591 0.07443604143723483 0.004766232210653142
27.1000668 0.07452709057456655 0.004772062200033602
27.1998098 0.07451687656341566 0.004771408184209985
27.3001071 0.0745766911209538 0.004775238184641224
27.3999811 0.07468313425555247 0.004782053870791794
27.4999088 0.07459625590634793 0.0047764909421567974
27.6000079 0.07459757116113933 0.0047765751595551294
27.7001486 0.0747731815733733 0.004787819712424339
27.7998187 0.07467649396280636 0.004781628684597534
27.9002087 0.07486660108026513 0.004793801479512619
27.999917 0.07491809946218195 0.0047970989848870205
28.0999534 0.07481555621168451 0.004790533013160569
28.2001872 0.07499175081569115 0.004801814972554766
28.2998953 0.0748691756807238 0.004793966334378606
28.3999155 0.07484984803416714 0.004792728761157411
28.5001142 0.07510909071655843 0.004809328392187379
28.599953 0.07516429568577204 0.004812863234951363
28.7000899 0.07514676368674587 0.004811740639272412
28.8000494 0.07555037922960728 0.004837584643923416
28.8998887 0.0753209840449829 0.004822896185257229
29.000079 0.07547437801860878 0.004832718191961229
29.09979 0.07569603606321954 0.00484691123193992
29.1999104 0.07582575982945937 0.004855217605857734
29.3003714 0.07581225949676419 0.004854353162782795
29.3996896 0.0758068405132256 0.004854006178534413
