wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
0.05,4.83E-10,
0.15,3.80E-08,
0.25,2.89E-07,
0.35,1.00E-06,
0.45,2.66E-06,
0.55,9.00E-06,
0.65,1.42E-05,
0.75,1.36E-05,
0.85,2.26E-05,
0.95,3.18E-05,
1.05,4.24E-05,
1.15,5.66E-05,
1.25,8.11E-05,
1.35,1.17E-04,
1.45,1.82E-04,
1.55,2.26E-04,
1.65,2.36E-04,
1.75,1.99E-04,
1.85,1.34E-04,
1.95,6.97E-05,
2.05,1.14E-04,
2.15,1.04E-04,
2.25,1.03E-04,
2.35,2.27E-05,
2.45,2.12E-05,
2.55,2.28E-05,
2.65,1.33E-05,
2.75,2.18E-05,
2.85,2.39E-05,
2.95,2.44E-05,
3.05,1.69E-05,
3.15,1.60E-05,
3.25,4.02E-05,
3.35,4.15E-05,
3.45,4.05E-05,
3.55,1.87E-05,
3.65,1.64E-05,
3.75,1.34E-05,
3.85,1.42E-05,
3.95,6.15E-05,
4.05,6.29E-05,
4.15,6.52E-05,
4.25,2.76E-05,
4.35,4.13E-05,
4.45,3.99E-05,
4.55,4.78E-05,
4.65,4.30E-05,
4.75,4.12E-05,
4.85,3.23E-05,
4.95,5.31E-05,
5.05,4.95E-05,
5.15,5.27E-05,
5.25,2.38E-05,
5.35,3.48E-05,
5.45,4.81E-05,
5.55,5.58E-05,
5.65,5.77E-05,
5.75,3.10E-05,
5.85,2.55E-05,
5.95,1.90E-05,
6.05,3.59E-05,
6.15,4.55E-05,
6.25,6.37E-05,
6.35,5.26E-05,
6.45,4.55E-05,
6.55,3.31E-05,
6.65,3.96E-05,
6.75,3.64E-05,
6.85,4.78E-05,
6.95,4.87E-05,
7.05,6.99E-05,
7.15,8.92E-05,
7.25,8.77E-05,
7.35,7.53E-05,
7.45,7.14E-05,
7.55,9.06E-05,
7.65,8.83E-05,
7.75,6.56E-05,
7.85,5.84E-05,
7.95,5.79E-05,
8.05,6.08E-05,
8.15,7.31E-05,
8.25,8.86E-05,
8.35,8.71E-05,
8.45,7.43E-05,
8.55,6.20E-05,
8.65,5.43E-05,
8.75,5.27E-05,
8.85,5.39E-05,
8.95,5.52E-05,
9.05,5.44E-05,
9.15,5.59E-05,
9.25,5.82E-05,
9.35,6.19E-05,
9.45,5.65E-05,
9.55,5.22E-05,
9.65,5.46E-05,
9.75,5.06E-05,
9.85,4.38E-05,
9.95,4.16E-05,
10.05,4.21E-05,
10.15,4.67E-05,
10.25,5.02E-05,
10.35,5.44E-05,
10.45,4.90E-05,
10.55,3.19E-05,
10.65,2.59E-05,
10.75,2.47E-05,
10.85,2.67E-05,
10.95,2.40E-05,
11.05,2.45E-05,
11.15,2.72E-05,
11.25,2.82E-05,
11.35,2.62E-05,
11.45,2.67E-05,
11.55,2.69E-05,
11.65,3.00E-05,
11.75,2.73E-05,
11.85,1.97E-05,
11.95,1.66E-05,
12.05,1.71E-05,
12.15,1.85E-05,
12.25,1.78E-05,
12.35,1.66E-05,
12.45,1.38E-05,
12.55,9.80E-06,
12.65,9.90E-06,
12.75,1.12E-05,
12.85,1.40E-05,
12.95,1.63E-05,
13.05,2.13E-05,
13.15,2.01E-05,
13.25,1.85E-05,
13.35,1.52E-05,
13.45,1.33E-05,
13.55,1.23E-05,
13.65,1.16E-05,
13.75,1.27E-05,
13.85,1.27E-05,
13.95,1.43E-05,
14.05,1.85E-05,
14.15,1.73E-05,
14.25,1.35E-05,
14.35,1.89E-05,
14.45,2.64E-05,
14.55,2.71E-05,
14.65,2.54E-05,
14.75,5.07E-05,
14.85,5.88E-05,
14.95,5.03E-05,
15.05,2.97E-05,
15.15,4.54E-05,
15.25,4.44E-05,
15.35,3.61E-05,
15.45,2.73E-05,
15.55,1.79E-05,
15.65,1.89E-05,
15.75,3.37E-05,
15.85,3.38E-05,
15.95,2.40E-05,
16.05,2.25E-05,
16.15,2.18E-05,
16.25,1.73E-05,
16.35,2.60E-05,
16.45,3.01E-05,
16.55,2.38E-05,
16.65,3.96E-05,
16.75,7.77E-05,
16.85,1.00E-04,
16.95,3.15E-04,
17.05,5.10E-04,
17.15,5.04E-04,
17.25,2.84E-04,
17.35,3.46E-04,
17.45,3.82E-04,
17.55,4.24E-04,
17.65,2.85E-04,
17.75,2.47E-04,
17.85,2.09E-04,
17.95,2.73E-04,
18.05,3.25E-04,
18.15,2.79E-04,
18.25,9.03E-05,
18.35,1.36E-04,
18.45,1.42E-04,
18.55,1.57E-04,
18.65,1.50E-04,
18.75,2.99E-04,
18.85,2.73E-04,
18.95,2.09E-04,
19.05,9.78E-05,
19.15,1.45E-04,
19.25,2.53E-04,
19.35,2.90E-04,
19.45,3.68E-04,
19.55,2.72E-04,
19.65,1.39E-04,
19.75,7.57E-05,
19.85,5.52E-05,
19.95,6.38E-05,
20.05,1.17E-04,
20.15,2.52E-04,
20.25,2.54E-04,
20.35,1.89E-04,
20.45,1.46E-04,
20.55,6.10E-05,
20.65,5.31E-05,
20.75,6.17E-05,
20.85,7.67E-05,
20.95,9.52E-05,
21.05,2.15E-04,
21.15,2.08E-04,
21.25,1.16E-04,
21.35,5.18E-05,
21.45,5.68E-05,
21.55,5.74E-05,
21.65,7.62E-05,
21.75,9.25E-05,
21.85,1.12E-04,
21.95,1.45E-04,
22.05,1.27E-04,
22.15,9.95E-05,
22.25,9.10E-05,
22.35,1.01E-04,
22.45,1.30E-04,
22.55,1.48E-04,
22.65,1.49E-04,
22.75,1.40E-04,
22.85,9.56E-05,
22.95,6.43E-05,
23.05,5.38E-05,
23.15,5.38E-05,
23.25,6.20E-05,
23.35,8.96E-05,
23.45,8.75E-05,
23.55,6.17E-05,
23.65,5.30E-05,
23.75,5.96E-05,
23.85,6.67E-05,
23.95,7.50E-05,
24.05,9.58E-05,
24.15,1.15E-04,
24.25,1.26E-04,
24.35,1.20E-04,
24.45,9.19E-05,
24.55,7.47E-05,
24.65,6.81E-05,
24.75,4.59E-05,
24.85,5.26E-05,
24.95,4.91E-05,
25.05,5.04E-05,
25.15,9.93E-05,
25.25,8.86E-05,
25.35,4.07E-05,
25.45,4.69E-05,
25.55,1.76E-04,
25.65,3.02E-04,
25.75,3.13E-04,
25.85,1.60E-04,
25.95,7.28E-05,
26.05,5.57E-05,
26.15,4.41E-05,
26.25,5.05E-05,
26.35,7.50E-05,
26.45,1.09E-04,
26.55,9.62E-05,
26.65,1.79E-05,
26.75,1.29E-05,
26.85,9.84E-06,
26.95,3.64E-05,
27.05,5.91E-05,
27.15,6.51E-05,
27.25,3.78E-05,
27.35,1.04E-04,
27.45,1.13E-04,
27.55,5.93E-05,
