wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm),,
1.5,7.16E-05,0.050974,,
2.5,5.61E-05,0.050974,,
3.5,4.64E-05,0.050974,,
4.5,5.35E-05,0.050974,,
5.5,7.07E-05,0.050974,,
6.5,8.10E-05,0.050974,,
7.5,6.39E-05,0.050974,,
8.5,5.70E-05,0.050974,,
9.5,4.48E-05,0.050974,,
10.5,3.22E-05,0.050974,,
11.5,2.08E-05,0.050974,,
12.5,1.17E-05,0.050974,,
13.5,1.19E-05,0.050974,,
14.5,2.53E-05,0.050974,,
15.5,2.58E-05,0.050974,,
16.5,3.46E-05,0.050974,,
17.5,1.88E-04,0.050974,,
18.5,1.73E-04,0.050974,,
19.5,1.44E-04,0.050974,,
20.5,1.09E-04,0.050974,,
21.5,8.19E-05,0.050974,,
22.5,8.84E-05,0.050974,,
23.5,4.90E-05,0.050974,,
24.5,6.27E-05,0.050974,,
25.5,1.08E-04,0.050974,,
26.5,3.62E-05,0.050974,,
27.5,4.75E-05,0.050974,,
28.5,7.77E-05,0.050974,,
29.5,2.17E-05,0.050974,,
30.5,5.37E-04,0.050974,,
31.5,3.63E-05,0.050974,,
32.5,1.37E-05,0.050974,,
33.5,5.57E-05,0.050974,,
34.5,4.72E-05,0.050974,,
35.5,3.57E-05,0.050974,,
36.5,7.52E-05,0.050974,,
37.5,3.15E-06,0.050974,,
38.5,4.41E-06,0.050974,,
39.5,7.14E-06,0.097854063,,
40.5,9.36E-06,0.094089217,,
41.5,9.88E-06,0.092385985,,
42.5,6.62E-06,0.098347388,,
43.5,1.25E-05,0.089975171,,
44.5,8.56E-06,0.093697362,,
45.5,8.24E-06,0.098185368,,
46.5,2.05E-05,0.094564117,,
47.5,1.02E-05,0.087795928,,
48.5,1.58E-05,0.077731006,,
49.5,2.53E-05,0.087771937,,
50.5,2.50E-05,0.083612077,,
51.5,1.03E-05,0.086219512,,
52.5,1.22E-05,0.094805673,,
53.5,9.49E-06,0.093069464,,
54.5,6.27E-06,0.088700823,,
55.5,3.02E-05,0.086097598,,
56.5,7.72E-06,0.085497759,,
57.5,7.07E-06,0.084034018,,
58.5,6.31E-05,0.109815553,,
59.5,9.52E-06,0.082882494,,
60.5,2.40E-05,0.138211325,,
61.5,1.97E-05,0.124487154,,
62.5,4.72E-05,0.115247607,,
63.5,3.59E-05,0.135380715,,
64.5,5.16E-06,0.085854463,,
65.5,4.71E-06,0.086389028,,
66.5,5.17E-06,0.085826389,,
67.5,4.16E-06,0.089662269,,
68.5,8.28E-06,0.076636665,,
