time (Julian Date),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm),
2452788,1.5,7.16E-05,0.050974,
2452788,2.5,5.61E-05,0.050974,
2452788,3.5,4.64E-05,0.050974,
2452788,4.5,5.35E-05,0.050974,
2452788,5.5,7.07E-05,0.050974,
2452788,6.5,8.10E-05,0.050974,
2452788,7.5,6.39E-05,0.050974,
2452788,8.5,5.70E-05,0.050974,
2452788,9.5,4.48E-05,0.050974,
2452788,10.5,3.22E-05,0.050974,
2452788,11.5,2.08E-05,0.050974,
2452788,12.5,1.17E-05,0.050974,
2452788,13.5,1.19E-05,0.050974,
2452788,14.5,2.53E-05,0.050974,
2452788,15.5,2.58E-05,0.050974,
2452788,16.5,3.46E-05,0.050974,
2452788,17.5,1.88E-04,0.050974,
2452788,18.5,1.73E-04,0.050974,
2452788,19.5,1.44E-04,0.050974,
2452788,20.5,1.09E-04,0.050974,
2452788,21.5,8.19E-05,0.050974,
2452788,22.5,8.84E-05,0.050974,
2452788,23.5,4.90E-05,0.050974,
2452788,24.5,6.27E-05,0.050974,
2452788,25.5,1.08E-04,0.050974,
2452788,26.5,3.62E-05,0.050974,
2452788,27.5,4.75E-05,0.050974,
2452788,28.5,7.77E-05,0.050974,
2452788,29.5,2.17E-05,0.050974,
2452788,30.5,5.37E-04,0.050974,
2452788,31.5,3.63E-05,0.050974,
2452788,32.5,1.37E-05,0.050974,
2452788,33.5,5.57E-05,0.050974,
2452788,34.5,4.72E-05,0.050974,
2452788,35.5,3.57E-05,0.050974,
2452788,36.5,7.52E-05,0.050974,
2452788,37.5,3.15E-06,0.050974,
2452788,38.5,4.41E-06,0.050974,
2003148,39.5,7.14E-06,0.097854063,
2003148,40.5,9.36E-06,0.094089217,
2003148,41.5,9.88E-06,0.092385985,
2003148,42.5,6.62E-06,0.098347388,
2003148,43.5,1.25E-05,0.089975171,
2003148,44.5,8.56E-06,0.093697362,
2003148,45.5,8.24E-06,0.098185368,
2003148,46.5,2.05E-05,0.094564117,
2003148,47.5,1.02E-05,0.087795928,
2003148,48.5,1.58E-05,0.077731006,
2003148,49.5,2.53E-05,0.087771937,
2003148,50.5,2.50E-05,0.083612077,
2003148,51.5,1.03E-05,0.086219512,
2003148,52.5,1.22E-05,0.094805673,
2003148,53.5,9.49E-06,0.093069464,
2003148,54.5,6.27E-06,0.088700823,
2003148,55.5,3.02E-05,0.086097598,
2003148,56.5,7.72E-06,0.085497759,
2003148,57.5,7.07E-06,0.084034018,
2003148,58.5,6.31E-05,0.109815553,
2003148,59.5,9.52E-06,0.082882494,
2003148,60.5,2.40E-05,0.138211325,
2003148,61.5,1.97E-05,0.124487154,
2003148,62.5,4.72E-05,0.115247607,
2003148,63.5,3.59E-05,0.135380715,
2003148,64.5,5.16E-06,0.085854463,
2003148,65.5,4.71E-06,0.086389028,
2003148,66.5,5.17E-06,0.085826389,
2003148,67.5,4.16E-06,0.089662269,
2003148,68.5,8.28E-06,0.076636665,
2003148,69.5,6.53E-06,0.073472127,
2003148,70.5,1.36E-05,0.080075346,
