time (seconds since 1970-01-01),wavelength (nm),irradiance (W/m^2/nm)
1.054123713609375E9,0.05,4.828653032973307E-10
1.054123713609375E9,0.15,3.8003268088004916E-8
1.054123713609375E9,0.25,2.887474295221182E-7
1.054123713609375E9,0.35,1.000659040073515E-6
1.054123713609375E9,0.45,2.663488885445986E-6
1.054123713609375E9,0.55,9.00260238267947E-6
1.054123713609375E9,0.65,1.4168460438668262E-5
1.054123713609375E9,0.75,1.3636327821586747E-5
1.054123713609375E9,0.85,2.2580910808756016E-5
1.054123713609375E9,0.95,3.179186751367524E-5
1.054123713609375E9,1.05,4.237619577907026E-5
1.054123713609375E9,1.15,5.658018926624209E-5
1.054123713609375E9,1.25,8.106064342427999E-5
1.054123713609375E9,1.35,1.1696467117872089E-4
1.054123713609375E9,1.45,1.821233454393223E-4
1.054123713609375E9,1.55,2.255483705084771E-4
1.054123713609375E9,1.65,2.3638659331481904E-4
1.054123713609375E9,1.75,1.9870043615810573E-4
1.054123713609375E9,1.85,1.3436286826618016E-4
1.054123713609375E9,1.95,6.967289664316922E-5
1.054123713609375E9,2.05,1.1428120342316106E-4
1.054123713609375E9,2.15,1.0350952652515844E-4
1.054123713609375E9,2.25,1.0258161637466401E-4
1.054123713609375E9,2.35,2.271787525387481E-5
1.054123713609375E9,2.45,2.120555109286215E-5
1.054123713609375E9,2.55,2.279804539284669E-5
1.054123713609375E9,2.65,1.330622035311535E-5
1.054123713609375E9,2.75,2.178639442718122E-5
1.054123713609375E9,2.85,2.391329689999111E-5
1.054123713609375E9,2.95,2.4435914383502677E-5
1.054123713609375E9,3.05,1.689964483375661E-5
1.054123713609375E9,3.15,1.5991054169717245E-5
1.054123713609375E9,3.25,4.019084371975623E-5
1.054123713609375E9,3.35,4.14732021454256E-5
1.054123713609375E9,3.45,4.0517672459827736E-5
1.054123713609375E9,3.55,1.8685965187614784E-5
1.054123713609375E9,3.65,1.6395726561313495E-5
1.054123713609375E9,3.75,1.3355560440686531E-5
1.054123713609375E9,3.85,1.4186437510943506E-5
1.054123713609375E9,3.95,6.148889951873571E-5
1.054123713609375E9,4.05,6.288697477430105E-5
1.054123713609375E9,4.15,6.518723967019469E-5
1.054123713609375E9,4.25,2.7568619771045633E-5
1.054123713609375E9,4.35,4.125775376451202E-5
1.054123713609375E9,4.45,3.98627707909327E-5
1.054123713609375E9,4.55,4.7765370254637673E-5
1.054123713609375E9,4.65,4.299620195524767E-5
1.054123713609375E9,4.75,4.124191400478594E-5
1.054123713609375E9,4.85,3.2271123927785084E-5
1.054123713609375E9,4.95,5.30860161234159E-5
1.054123713609375E9,5.05,4.954533142154105E-5
1.054123713609375E9,5.15,5.2670402510557324E-5
1.054123713609375E9,5.25,2.3792343199602328E-5
1.054123713609375E9,5.35,3.478171493043192E-5
1.054123713609375E9,5.45,4.809447273146361E-5
1.054123713609375E9,5.55,5.584430618910119E-5
1.054123713609375E9,5.65,5.765230525867082E-5
1.054123713609375E9,5.75,3.097020817222074E-5
1.054123713609375E9,5.85,2.5451567125855945E-5
1.054123713609375E9,5.95,1.902478288684506E-5
1.054123713609375E9,6.05,3.589579864637926E-5
1.054123713609375E9,6.15,4.546421769191511E-5
1.054123713609375E9,6.25,6.367862079059705E-5
1.054123713609375E9,6.35,5.257331213215366E-5
1.054123713609375E9,6.45,4.5535063691204414E-5
1.054123713609375E9,6.55,3.307020597276278E-5
1.054123713609375E9,6.65,3.9601276512257755E-5
1.054123713609375E9,6.75,3.638067937572487E-5
1.054123713609375E9,6.85,4.780132803716697E-5
1.054123713609375E9,6.95,4.8655536375008523E-5
1.054123713609375E9,7.05,6.988876702962443E-5
1.054123713609375E9,7.15,8.921487460611388E-5
